,Player,Goals_21,ixG_21
249,Adam Pelech,2,4.61
250,Teddy Blueger,7,6.78
251,Kasperi Kapanen,11,8.62
252,Nicolas Aube-Kubel,11,8.03
253,Christian Dvorak,9,7.47
254,Anthony Beauvillier,7,11.64
255,Dillon Dube,13,11.69
256,Dante Fabbro,2,3.12
257,Vasily Podkolzin,12,9.08
258,Dustin Brown,7,8.67
259,Anton Stralman,7,3.14
260,Ryan McDonagh,4,4.73
261,Kevin Hayes,6,6.6
262,Mark Stone,5,5.99
263,Vinnie Hinostroza,11,7.25
264,Warren Foegele,9,12.19
265,Zach Werenski,6,8.56
266,Thomas Chabot,6,7.09
267,Mathieu Joseph,8,7.58
268,Denis Gurianov,6,8.44
269,Eric Robinson,7,8.86
270,Isac Lundestrom,11,8.51
271,Moritz Seider,2,4.78
272,Philip Tomasino,8,10.18
273,Ryan Getzlaf,1,5.66
274,Sam Gagner,8,8.76
275,Max Pacioretty,14,8.22
276,Jared Spurgeon,7,3.75
277,Sean Kuraly,10,9.46
278,Adam Larsson,7,4.16
279,Torey Krug,4,4.1
280,Cody Ceci,5,3.32
281,Brett Pesce,4,4.86
282,Nikita Zadorov,3,4.14
283,Garnet Hathaway,11,11.03
284,Vince Dunn,5,4.64
285,Keegan Kolesar,5,9.3
286,Derek Ryan,10,7.35
287,Michael Rasmussen,13,11.39
288,Jesper Boqvist,9,6.46
289,Miro Heiskanen,1,6.52
290,Eetu Luostarinen,6,8.47
291,Artem Zub,6,3.5
292,Alex Goligoski,2,2.51
293,Jeff Petry,6,3.71
294,Pat Maroon,8,9.79
295,P.K. Subban,5,4.42
296,Erik Karlsson,7,4.88
297,Tyler Ennis,7,6.06
298,Dmitry Kulikov,5,3.86
299,Mattias Ekholm,5,5.39
300,Calle Jarnkrok,8,6.73
301,Tyler Toffoli,6,10.53
302,Ryan Nugent-Hopkins,6,7.98
303,Jake McCabe,3,3.25
304,Brock McGinn,10,8.16
305,Dominik Kubalik,10,12.07
306,Mattias Janmark,6,8.98
307,William Carrier,9,13.9
308,Darnell Nurse,6,7.36
309,Robby Fabbri,10,9.9
310,Jordan Greenway,6,8.6
311,Brock Boeser,9,11.87
312,Yakov Trenin,13,12.78
313,Luke Kunin,13,11.44
314,Samuel Girard,4,2.64
315,Timothy Liljegren,4,3.51
316,Filip Chytil,8,11.92
317,Brian Boyle,10,6.96
318,Patric Hornqvist,8,12.57
319,Erik Johnson,6,4.6
320,Kevin Shattenkirk,6,5.38
321,Alex Pietrangelo,7,6.79
322,Derek Stepan,9,9.52
323,Nick Jensen,5,3.99
324,Nic Dowd,9,7.51
325,Justin Holl,2,3.41
326,Jon Merrill,4,2.26
327,Cam Fowler,2,4.08
328,Dougie Hamilton,6,8.11
329,Alex Galchenyuk,5,7.41
330,Oskar Sundqvist,7,6.16
331,Colton Sissons,5,7.91
332,Anthony Mantha,7,6.19
333,Nick Ritchie,11,8.66
334,Evgeny Svechnikov,7,7.53
335,Ivan Provorov,7,5.48
336,John Marino,1,3.93
337,Rudolfs Balcers,10,8.34
338,David Kampf,8,9.11
339,Logan O'Connor,7,9.34
340,Blake Lizotte,8,8.27
341,Ilya Mikheyev,11,9.98
342,Ryan Suter,3,3.62
343,Mark Giordano,3,3.5
344,Evgeni Malkin,10,6.86
345,Ian Cole,2,2.68
346,Mike Hoffman,10,7.32
347,Marcus Johansson,6,7.92
348,Oliver Ekman-Larsson,2,5.01
349,Ben Chiarot,6,4.56
350,Joonas Donskoi,2,7.72
351,Matt Grzelcyk,3,3.47
352,Brett Kulak,5,3.03
353,Nate Schmidt,2,3.94
354,J.T. Compher,11,9.18
355,Josh Morrissey,5,7.64
356,Marcus Pettersson,2,3.62
357,Michael Amadio,11,6.76
358,Ondrej Kase,9,8.33
359,Alexandre Carrier,1,3.77
360,Rasmus Asplund,2,9.27
361,Trent Frederic,8,8.9
362,Noah Gregor,8,10.89
363,Jake Bean,5,4.05
364,Morgan Geekie,7,7.3
365,Neal Pionk,1,5.19
366,Jan Rutta,3,3.45
367,Zach Whitecloud,7,4.05
368,Kirby Dach,7,8.35
369,Duncan Keith,1,3.05
370,Loui Eriksson,2,6.8
371,Milan Lucic,8,8.52
372,Nick Bonino,11,10.39
373,Justin Braun,6,2.21
374,Justin Schultz,2,4.32
375,Tyson Barrie,4,3.91
376,Brenden Dillon,2,2.9
377,Johan Larsson,4,3.8
378,Erik Gudbranson,6,3.85
379,Sam Carrick,9,6.86
380,Nick Cousins,5,7.41
381,Victor Rask,7,4.27
382,Matt Nieto,6,6.33
383,Hampus Lindholm,4,5.36
384,Matt Dumba,5,4.01
385,Pierre-Edouard Bellemare,8,7.05
386,Daniel Sprong,12,12.11
387,Ryan Lomberg,9,7.56
388,Sam Steel,6,6.0
389,Brett Howden,8,5.73
390,Tyson Jost,6,8.04
391,Taylor Raddysh,7,10.78
392,Michael McLeod,5,5.94
393,Owen Tippett,8,9.78
394,K'Andre Miller,4,3.49
395,Barrett Hayton,7,6.24
396,Arthur Kaliyev,8,12.1
397,Connor McMichael,8,11.51
398,Derick Brassard,7,5.25
399,Drew Doughty,2,2.44
400,Brian Dumoulin,3,4.03
401,Jonas Brodin,3,3.36
402,Adam Erne,5,8.36
403,Zach Sanford,7,10.24
404,Jonathan Drouin,6,4.14
405,Mason Appleton,6,9.34
406,Eeli Tolvanen,10,9.11
407,Jacob Peterson,12,8.45
408,Oliver Wahlstrom,8,10.82
409,Ryan McLeod,7,6.75
410,Adam Boqvist,8,4.02
411,Ty Smith,5,3.37
412,Alexander Edler,3,2.04
413,Wayne Simmonds,5,8.83
414,Tyler Myers,1,5.65
415,Jakob Silfverberg,4,6.59
416,Colin Blackwell,8,5.31
417,Josh Manson,6,4.07
418,Brad Hunt,3,1.92
419,Esa Lindell,3,3.03
420,Jordan Martinook,6,7.58
421,Carson Soucy,9,3.92
422,Curtis Lazar,8,9.37
423,Trevor van Riemsdyk,1,3.5
424,Tomas Nosek,3,8.97
425,Juho Lammikko,7,7.12
426,Jack Eichel,10,7.04
427,Matt Roy,2,5.85
428,Jakob Chychrun,5,4.3
429,Kieffer Bellows,6,6.39
430,Janne Kuokkanen,4,5.74
431,Brandon Duhaime,5,7.53
432,Philipp Kurashev,3,6.5
433,Joe Veleno,8,6.28
434,Nils Hoglander,9,10.73
435,Kaapo Kakko,6,5.47
436,Alexander Radulov,3,9.81
437,Marc-Edouard Vlasic,3,2.68
