pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2019020597,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:56:22Z,Final,15,12
2019020598,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:52:46Z,Final,21,25
2019020599,20192020,R,2019-12-29T03:00:00Z,2019-12-29T05:30:33Z,Final,26,23
2019020600,20192020,R,2019-12-29T03:00:00Z,2019-12-29T05:37:44Z,Final,53,54
2019020601,20192020,R,2019-12-29T03:30:00Z,2019-12-29T06:00:27Z,Final,4,28
2019020602,20192020,R,2019-12-29T20:00:00Z,2019-12-29T22:34:27Z,Final,52,19
2019020603,20192020,R,2019-12-29T22:00:00Z,2019-12-30T00:40:35Z,Final,1,9
2019020604,20192020,R,2019-12-29T22:00:00Z,2019-12-30T00:58:17Z,Final,16,29
2019020605,20192020,R,2019-12-29T23:00:00Z,2019-12-30T01:35:28Z,Final,2,30
2019020606,20192020,R,2019-12-30T00:00:00Z,2019-12-30T02:41:31Z,Final,7,6
2019020607,20192020,R,2019-12-30T00:00:00Z,2019-12-30T02:29:17Z,Final,17,14
2019020608,20192020,R,2019-12-30T00:00:00Z,2019-12-30T02:46:57Z,Final,8,13
2019020609,20192020,R,2019-12-30T01:00:00Z,2019-12-30T03:52:17Z,Final,25,53
2019020610,20192020,R,2019-12-30T01:30:00Z,2019-12-30T04:13:51Z,Final,4,24
2019020611,20192020,R,2019-12-30T02:30:00Z,2019-12-30T05:07:48Z,Final,23,20
2019020612,20192020,R,2019-12-31T00:00:00Z,2019-12-31T02:45:24Z,Final,9,5
2019020613,20192020,R,2019-12-31T18:00:00Z,2019-12-31T20:41:57Z,Final,6,1
2019020614,20192020,R,2019-12-31T18:00:00Z,2019-12-31T20:34:57Z,Final,2,15
2019020615,20192020,R,2019-12-31T20:00:00Z,2019-12-31T22:36:05Z,Final,24,54
2019020616,20192020,R,2019-12-31T23:00:00Z,2020-01-01T01:38:06Z,Final,10,30
2019020617,20192020,R,2020-01-01T00:00:00Z,2020-01-01T02:37:06Z,Final,14,7
2019020618,20192020,R,2020-01-01T00:00:00Z,2020-01-01T02:59:19Z,Final,8,12
2019020619,20192020,R,2020-01-01T00:00:00Z,2020-01-01T02:36:39Z,Final,13,29
2019020620,20192020,R,2020-01-01T00:30:00Z,2020-01-01T03:04:00Z,Final,28,17
2019020621,20192020,R,2020-01-01T01:00:00Z,2020-01-01T03:45:04Z,Final,52,21
2019020622,20192020,R,2020-01-01T02:00:00Z,2020-01-01T04:54:09Z,Final,16,20
2019020623,20192020,R,2020-01-01T02:00:00Z,2020-01-01T04:44:29Z,Final,3,22
2019020624,20192020,R,2020-01-01T02:00:00Z,2020-01-01T04:29:49Z,Final,19,53
2019020625,20192020,R,2020-01-01T02:00:00Z,2020-01-01T04:34:15Z,Final,4,26
2019020626,20192020,R,2020-01-01T19:00:00Z,2020-01-01T21:49:08Z,Final,18,25
2019020627,20192020,R,2020-01-03T00:00:00Z,2020-01-03T02:30:59Z,Final,29,6
2019020628,20192020,R,2020-01-03T00:00:00Z,2020-01-03T02:42:17Z,Final,22,7
2019020629,20192020,R,2020-01-03T00:00:00Z,2020-01-03T02:34:12Z,Final,14,8
2019020630,20192020,R,2020-01-03T00:00:00Z,2020-01-03T02:42:33Z,Final,1,2
2019020631,20192020,R,2020-01-03T00:00:00Z,2020-01-03T02:43:36Z,Final,28,5
2019020632,20192020,R,2020-01-03T00:30:00Z,2020-01-03T03:07:38Z,Final,13,9
2019020633,20192020,R,2020-01-03T01:00:00Z,2020-01-03T03:29:30Z,Final,10,52
2019020634,20192020,R,2020-01-03T02:30:00Z,2020-01-03T05:16:43Z,Final,19,21
2019020635,20192020,R,2020-01-03T02:00:00Z,2020-01-03T04:29:21Z,Final,3,20
2019020636,20192020,R,2020-01-03T02:00:00Z,2020-01-03T04:28:40Z,Final,24,53
2019020637,20192020,R,2020-01-03T03:00:00Z,2020-01-03T05:36:59Z,Final,16,23
2019020638,20192020,R,2020-01-03T03:00:00Z,2020-01-03T05:45:55Z,Final,4,54
2019020639,20192020,R,2020-01-04T00:30:00Z,2020-01-04T03:14:52Z,Final,15,12
2019020640,20192020,R,2020-01-04T01:30:00Z,2020-01-04T04:09:56Z,Final,17,25
2019020641,20192020,R,2020-01-04T18:00:00Z,2020-01-04T20:38:34Z,Final,22,6
2019020642,20192020,R,2020-01-04T18:00:00Z,2020-01-04T20:36:18Z,Final,28,29
2019020643,20192020,R,2020-01-04T19:00:00Z,2020-01-04T21:43:50Z,Final,52,30
2019020644,20192020,R,2020-01-04T21:00:00Z,2020-01-04T23:49:53Z,Final,19,54
2019020645,20192020,R,2020-01-04T18:00:00Z,2020-01-04T20:29:23Z,Final,13,7
2019020646,20192020,R,2020-01-05T00:00:00Z,2020-01-05T02:30:46Z,Final,2,10
2019020647,20192020,R,2020-01-05T00:00:00Z,2020-01-05T02:50:09Z,Final,5,8
2019020648,20192020,R,2020-01-05T00:00:00Z,2020-01-05T02:42:20Z,Final,14,9
2019020649,20192020,R,2020-01-05T00:00:00Z,2020-01-05T02:42:48Z,Final,21,1
2019020650,20192020,R,2020-01-05T01:00:00Z,2020-01-05T03:40:25Z,Final,4,53
2019020651,20192020,R,2020-01-05T03:00:00Z,2020-01-05T05:45:51Z,Final,3,23
2019020652,20192020,R,2020-01-05T03:30:00Z,2020-01-05T06:13:06Z,Final,18,26
2019020653,20192020,R,2020-01-05T17:30:00Z,2020-01-05T20:12:28Z,Final,28,15
2019020654,20192020,R,2020-01-05T22:00:00Z,2020-01-06T00:33:22Z,Final,13,5
2019020655,20192020,R,2020-01-05T22:00:00Z,2020-01-06T00:37:05Z,Final,14,12
2019020656,20192020,R,2020-01-06T00:00:00Z,2020-01-06T02:56:51Z,Final,20,30
2019020657,20192020,R,2020-01-06T00:30:00Z,2020-01-06T02:56:12Z,Final,17,16
2019020658,20192020,R,2020-01-06T03:00:00Z,2020-01-06T06:07:17Z,Final,18,24
2019020659,20192020,R,2020-01-07T00:00:00Z,2020-01-07T02:40:07Z,Final,22,10
2019020660,20192020,R,2020-01-07T00:00:00Z,2020-01-07T02:37:29Z,Final,52,8
2019020661,20192020,R,2020-01-07T00:00:00Z,2020-01-07T02:35:37Z,Final,21,2
2019020662,20192020,R,2020-01-07T03:30:00Z,2020-01-07T05:54:34Z,Final,29,26
2019020663,20192020,R,2020-01-08T00:00:00Z,2020-01-08T02:45:20Z,Final,23,14
2019020664,20192020,R,2020-01-08T00:00:00Z,2020-01-08T02:45:45Z,Final,53,13
