,gameId,eventId,eventType,eventTypeDesc,period,periodTime,periodType,teamAwayID,teamHomeID,goalsHome,goalsAway,coX,coY,player1Id,player1Type,player1Name,player2Id,player2Type,player2Name,player3Id,player3Type,player3Name,player4Id,player4Type,player4Name,startDate,periodTimeFull,periodTimeFull_rounded,shot_angle,shot_distance,shot_angle_rad,shot_angle_vis
175339,2021020560,236,Goal,"Alex Ovechkin (24) Snap Shot, assists: Garnet Hathaway (4), John Carlson (24)",3,19:19,REGULAR,15,17,1,3,58,-27,8471214,Scorer,Alex Ovechkin,8477903,Assist,Garnet Hathaway,8474590,Assist,John Carlson,0,0,0,2022-01-01,0 days 00:59:19,0 days 00:59:00,-41.05481377096244,41.10960958218893,-0.7165416740964038,2.2873380008913005
210021,2021020670,279,Goal,"Alex Ovechkin (25) Wrist Shot, assists: Evgeny Kuznetsov (24), Nicklas Backstrom (4)",3,19:49,REGULAR,15,2,0,2,-80,2,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8473563,Assist,Nicklas Backstrom,0,0,0,2022-01-15,0 days 00:59:49,0 days 01:00:00,0.678024910751301,169.01183390520322,0.011833767103150903,1.5589625596917456
212833,2021020680,73,Goal,"Alex Ovechkin (26) Slap Shot, assists: Justin Schultz (5), Evgeny Kuznetsov (25)",1,10:31,REGULAR,23,15,1,0,-57,-27,8471214,Scorer,Alex Ovechkin,8474602,Assist,Justin Schultz,8475744,Assist,Evgeny Kuznetsov,8477967,Goalie,Thatcher Demko,2022-01-16,0 days 00:10:31,0 days 00:11:00,-10.477423596004869,148.47558721890948,-0.18286553887642915,1.7536618656713256
217564,2021020695,82,Goal,"Alex Ovechkin (27) Wrist Shot, assists: Garnet Hathaway (7)",1,16:58,REGULAR,52,15,1,2,-74,-12,8471214,Scorer,Alex Ovechkin,8477903,Assist,Garnet Hathaway,8476945,Goalie,Connor Hellebuyck,0,0,0,2022-01-19,0 days 00:16:58,0 days 00:17:00,-4.210498403302206,163.44112089679268,-0.07348706028758759,1.6442833870824842
227522,2021020726,220,Goal,"Alex Ovechkin (28) Snap Shot, assists: Trevor van Riemsdyk (11), Evgeny Kuznetsov (28)",3,01:39,REGULAR,9,15,1,2,-80,3,8471214,Scorer,Alex Ovechkin,8477845,Assist,Trevor van Riemsdyk,8475744,Assist,Evgeny Kuznetsov,8476899,Goalie,Matt Murray,2022-01-23,0 days 00:41:39,0 days 00:42:00,1.0169780307191734,169.0266251216062,0.017749615056497612,1.553046711738399
227564,2021020726,261,Goal,"Alex Ovechkin (29) Snap Shot, assists: Nicklas Backstrom (6)",3,09:43,REGULAR,9,15,2,2,-76,1,8471214,Scorer,Alex Ovechkin,8473563,Assist,Nicklas Backstrom,8476899,Goalie,Matt Murray,0,0,0,2022-01-23,0 days 00:49:43,0 days 00:50:00,0.34724289708576445,165.00303027520434,0.006060531858310412,1.564735794936586
257029,2021020818,265,Goal,"Alex Ovechkin (32) Wrist Shot, assists: Evgeny Kuznetsov (34)",3,18:58,REGULAR,15,3,4,1,81,-7,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8478048,Goalie,Igor Shesterkin,0,0,0,2022-02-25,0 days 00:58:58,0 days 00:59:00,-41.18592516570965,10.63014581273465,-0.7188299996216245,2.289626326416521
272839,2021020868,154,Goal,"Alex Ovechkin (33) Slap Shot, assists: John Carlson (34), T.J. Oshie (9)",2,15:05,REGULAR,12,15,3,0,53,27,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8471698,Assist,T.J. Oshie,8475883,Goalie,Frederik Andersen,2022-03-04,0 days 00:35:05,0 days 00:35:00,36.86989764584402,45.0,0.6435011087932844,0.9272952180016122
277962,2021020884,208,Goal,"Alex Ovechkin (34) Slap Shot, assists: John Carlson (35), Nicklas Backstrom (13)",3,00:47,REGULAR,55,15,4,2,-58,-29,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8473563,Assist,Nicklas Backstrom,8476904,Goalie,Chris Driedger,2022-03-06,0 days 00:40:47,0 days 00:41:00,-11.159943865032755,149.83324063771698,-0.19477776478256326,1.7655740915774598
286770,2021020912,173,Goal,"Alex Ovechkin (35) Wrist Shot, assists: Evgeny Kuznetsov (37)",2,13:23,REGULAR,15,20,2,2,-60,-13,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8478435,Goalie,Dan Vladar,0,0,0,2022-03-09,0 days 00:33:23,0 days 00:33:00,-4.986333771235494,149.56603892595405,-0.0870279419114451,1.6578242687063416
286896,2021020912,299,Goal,"Alex Ovechkin (36) Wrist Shot, assists: Tom Wilson (21), Nick Jensen (12)",3,18:12,REGULAR,15,20,3,5,17,-34,8471214,Scorer,Alex Ovechkin,8476880,Assist,Tom Wilson,8475324,Assist,Nick Jensen,0,0,0,2022-03-09,0 days 00:58:12,0 days 00:58:00,-25.27772223555295,79.62411694957753,-0.4411794804149806,2.0119758072098772
300978,2021020956,277,Goal,"Alex Ovechkin (37) Snap Shot, assists: Evgeny Kuznetsov (40)",3,15:02,REGULAR,2,15,3,2,-56,12,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8473575,Goalie,Semyon Varlamov,0,0,0,2022-03-15,0 days 00:55:02,0 days 00:55:00,4.730938623779238,145.49570440394453,0.08257045569471701,1.4882258711001795
305819,2021020971,163,Goal,"Alex Ovechkin (38) Snap Shot, assists: Conor Sheary (16), Tom Wilson (23)",2,10:44,REGULAR,15,29,1,4,55,17,8471214,Scorer,Alex Ovechkin,8477839,Assist,Conor Sheary,8476880,Assist,Tom Wilson,8478007,Goalie,Elvis Merzlikins,2022-03-17,0 days 00:30:44,0 days 00:31:00,26.565051177077994,38.01315561749642,0.4636476090008062,1.1071487177940904
