"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"98","Robert Bortuzzo","STL","D","40","490.55","1","4","1","3","5","41.67","31","3.23","1.41","70","41","26","5","0","3","45","14","10","3","1","6","14","7","75","51","43","0","0","-"
"112","Jay Beagle","VAN","C","30","275.03333333333","1","4","3","1","5","62.50","20","5.00","3.13","32","28","23","15","2","3","6","3","3","0","0","5","3","6","33","15","7","127","87","59.35"
"122","Jake Gardiner","CAR","D","26","361.73333333333","0","5","2","3","5","35.71","18","0.00","0.68","53","30","11","1","1","2","4","2","2","0","0","0","11","5","14","58","15","0","0","-"
"166","Zack Kassian","EDM","R","27","307.48333333333","2","3","3","0","5","62.50","18","11.11","2.19","38","30","22","11","1","1","15","6","5","1","0","1","7","3","73","18","3","0","2","0.00"
"213","Jon Merrill","DET, MTL","D","49","784.53333333333","0","5","4","1","5","20.83","38","0.00","1.39","85","57","15","2","1","6","16","8","8","0","0","4","31","7","32","79","54","0","0","-"
"242","Marcus Sorensen","S.J","L","29","296.75","1","4","3","1","5","50.00","20","5.00","2.94","41","35","26","14","1","5","16","5","3","2","0","5","8","7","21","20","9","0","1","0.00"
"375","Ben Hutton","ANA, TOR","D","38","594.86666666667","1","4","1","3","5","35.71","46","2.17","2.13","90","58","20","7","0","4","11","4","3","1","0","2","16","8","43","57","31","0","0","-"
"377","Nikita Gusev","FLA, N.J","L","31","351.46666666667","2","3","2","1","5","83.33","53","3.77","3.94","81","63","40","14","2","4","0","0","0","0","0","1","13","9","3","12","1","0","0","-"
"387","Carter Rowney","ANA","C","19","215.68333333333","0","5","4","1","5","83.33","10","0.00","0.99","18","11","10","6","0","1","2","1","1","0","0","2","3","6","43","22","14","6","6","50.00"
"407","John Hayden","ARI","C","29","260.08333333333","2","3","2","1","5","62.50","21","9.52","1.65","38","28","21","7","1","3","37","11","6","5","0","9","4","3","83","33","15","3","7","30.00"
"427","Robert Hagg","PHI","D","34","468.9","2","3","2","1","5","29.41","29","6.90","1.84","76","51","22","2","3","2","18","9","9","0","0","3","18","4","90","42","26","0","0","-"
"498","Jayce Hawryluk","VAN","C","30","283.6","2","3","3","0","5","55.56","18","11.11","2.13","33","24","22","10","0","2","9","3","2","1","0","3","12","5","43","17","11","1","1","50.00"
"607","Dean Kukan","CBJ","D","35","482.5","1","4","1","3","5","31.25","28","3.57","0.89","49","35","10","0","1","1","10","5","5","0","0","4","17","6","36","36","37","0","0","-"
"645","Wade Allison","PHI","R","14","154.71666666667","2","3","2","1","5","100.00","19","10.53","1.52","34","26","13","8","1","3","4","2","2","0","0","1","3","5","28","18","10","0","1","0.00"
"662","Brett Howden","NYR","C","42","429.78333333333","0","5","2","3","5","41.67","31","0.00","3.67","50","44","34","23","2","1","6","3","3","0","0","8","5","3","55","54","25","97","97","50.00"
"667","Trent Frederic","BOS","C","42","447.11666666667","4","1","1","0","5","71.43","41","9.76","3.1","72","60","32","13","2","1","65","12","5","3","4","15","7","8","61","54","15","36","31","53.73"
"675","Victor Mete","MTL, OTT","D","28","396.78333333333","1","4","1","3","5","31.25","19","5.26","1.09","40","27","15","4","3","1","8","4","4","0","0","0","9","6","18","38","29","0","0","-"
"718","Tanner Jeannot","NSH","L","14","166.46666666667","4","1","1","0","5","62.50","20","20.00","2.08","30","24","21","13","0","3","2","1","1","0","0","2","5","0","49","16","5","0","2","0.00"
"759","Alex Formenton","OTT","L","20","192.48333333333","3","2","1","1","5","62.50","19","15.79","1.54","31","25","19","8","1","1","6","3","3","0","0","5","4","6","21","13","5","1","1","50.00"
"848","Alexander Romanov","MTL","D","54","819.21666666667","1","4","2","2","5","15.15","64","1.56","2.41","177","102","46","2","1","8","21","9","8","1","0","8","45","8","134","145","47","0","0","-"
"857","Logan O'Connor","COL","R","22","199.88333333333","3","2","2","0","5","62.50","33","9.09","4.02","55","46","38","22","2","7","6","3","3","0","0","4","2","11","29","26","7","1","1","50.00"
"901","Jamie Drysdale","ANA","D","24","379.55","2","3","0","3","5","41.67","18","11.11","0.66","50","32","4","0","1","0","6","3","3","0","0","2","18","4","7","15","21","0","0","-"
"903","Alexander Barabanov","S.J, TOR","L","22","228.61666666667","1","4","2","2","5","38.46","19","5.26","2.23","33","26","25","12","0","3","6","3","3","0","0","3","9","8","7","24","14","0","0","-"
"907","Mikko Lehtonen","CBJ, TOR","D","26","369.1","0","5","3","2","5","35.71","29","0.00","1.3","51","37","13","1","0","2","8","4","4","0","0","0","8","6","27","47","15","0","0","-"
"23","Nate Thompson","WPG","C","44","359.58333333333","2","2","1","1","4","40.00","18","11.11","1.84","35","26","25","10","0","0","4","2","2","0","0","0","8","5","55","22","13","114","116","49.57"
"29","Alexander Radulov","DAL","R","11","147.28333333333","1","3","3","0","4","50.00","17","5.88","1.58","35","25","25","13","1","2","6","3","3","0","0","3","5","3","3","12","5","0","0","-"
"50","Niklas Hjalmarsson","ARI","D","41","556.7","0","4","3","1","4","40.00","28","0.00","1.15","65","47","10","0","0","5","16","8","8","0","0","1","21","8","13","31","47","0","0","-"
"77","Steven Kampfer","BOS","D","20","290.8","1","3","2","1","4","36.36","24","4.17","0.8","44","35","6","0","1","1","4","2","2","0","0","2","4","5","20","39","23","0","0","-"
"110","Jason Demers","ARI","D","41","620.48333333333","0","4","2","2","4","21.05","43","0.00","1.77","90","60","20","4","1","8","22","10","10","0","0","2","12","7","60","53","28","0","0","-"
"116","Zach Bogosian","TOR","D","45","576.41666666667","0","4","2","2","4","15.38","32","0.00","1.57","81","55","18","3","1","3","39","14","12","1","1","3","15","7","61","34","26","0","0","-"
"132","Derek Stepan","OTT","C","20","223","1","3","2","1","4","57.14","36","2.78","3.05","53","47","25","11","3","2","8","4","4","0","0","1","4","7","22","11","14","107","96","52.71"
"134","Michael Stone","CGY","D","21","289","2","2","1","1","4","28.57","36","5.56","1.24","70","49","11","0","1","1","6","3","3","0","0","2","10","4","23","26","13","0","0","-"
"167","Dmitry Kulikov","EDM, N.J","D","48","784.16666666667","0","4","1","3","4","14.81","51","0.00","1.97","110","71","27","6","3","7","28","14","14","0","0","2","30","7","90","76","39","0","0","-"
"185","David Savard","CBJ, T.B","D","54","924.53333333333","0","4","0","4","4","23.53","63","0.00","2.47","114","85","28","5","2","2","22","11","11","0","0","4","23","6","127","76","96","0","0","-"
"228","Erik Gudbranson","NSH, OTT","D","44","664.26666666667","1","3","1","2","4","20.00","53","1.89","1.43","115","71","22","1","2","7","53","18","14","3","1","13","30","4","94","79","47","0","0","-"
"230","Brett Connolly","CHI, FLA","R","30","334.78333333333","2","2","2","0","4","40.00","22","9.09","2.29","45","28","25","10","0","3","4","2","2","0","0","3","8","7","41","27","8","3","8","27.27"
"233","Mark Pysyk","DAL","D","36","387.38333333333","3","1","1","0","4","30.77","51","5.88","3.6","80","64","38","15","4","8","20","10","10","0","0","2","14","6","36","39","14","0","0","-"
"243","Sam Carrick","ANA","C","13","153.61666666667","2","2","2","0","4","57.14","21","9.52","1.27","31","23","16","5","1","2","26","6","3","2","1","7","6","2","28","14","3","27","23","54.00"
"253","Kevan Miller","BOS","D","28","447.76666666667","1","3","0","3","4","36.36","23","4.35","0.85","58","39","9","2","0","2","20","7","5","2","0","6","10","4","62","71","23","0","0","-"
"258","Nikita Nesterov","CGY","D","38","532.46666666667","0","4","2","2","4","21.05","32","0.00","1.12","86","59","14","1","0","3","20","10","10","0","0","2","20","6","39","23","23","0","0","-"
"325","Hampus Lindholm","ANA","D","18","331.15","1","3","1","2","4","40.00","25","4.00","0.87","59","40","12","3","3","4","14","7","7","0","0","2","13","5","9","30","14","0","0","-"
"333","Olli Maatta","L.A","D","41","595.15","0","4","1","3","4","18.18","40","0.00","1.72","72","59","18","5","1","2","6","3","3","0","0","4","19","3","37","83","36","0","0","-"
"346","Oskar Sundqvist","STL","C","28","312.75","2","2","2","0","4","80.00","23","8.70","2.51","40","35","25","10","1","4","10","5","5","0","0","5","6","3","41","33","15","72","91","44.17"
"381","Kurtis MacDermid","L.A","D","28","329.48333333333","2","2","0","2","4","33.33","16","12.50","0.6","41","28","8","1","0","2","36","12","8","4","0","6","16","1","45","16","28","0","0","-"
"478","Michael Dal Colle","NYI","L","26","303.95","1","3","1","2","4","40.00","19","5.26","2.44","41","32","30","14","0","4","4","2","2","0","0","2","4","4","32","21","9","1","3","25.00"
"479","Jake Virtanen","VAN","R","38","426.3","4","0","0","0","4","44.44","42","9.52","4.88","90","64","60","25","4","8","27","11","10","1","0","12","11","15","81","45","12","9","3","75.00"
"480","Haydn Fleury","ANA, CAR","D","47","645.06666666667","3","1","0","1","4","26.67","61","4.92","2.19","124","84","26","3","1","5","8","4","4","0","0","3","22","5","57","73","46","0","0","-"
"506","Juho Lammikko","FLA","C","44","420.16666666667","3","1","0","1","4","40.00","40","7.50","3.05","64","53","36","15","2","2","10","5","5","0","0","2","12","5","47","20","14","112","136","45.16"
"551","Travis Dermott","TOR","D","51","636.71666666667","1","3","0","3","4","21.05","35","2.86","1.45","80","52","20","3","3","2","19","8","7","1","0","4","25","4","41","76","34","0","0","-"
"567","Brandon Carlo","BOS","D","27","416.15","3","1","0","1","4","26.67","39","7.69","1.23","85","63","15","1","3","2","10","5","5","0","0","3","7","5","34","47","22","0","0","-"
"574","Caleb Jones","EDM","D","33","423.76666666667","0","4","3","1","4","36.36","23","0.00","0.77","54","31","11","2","0","3","6","3","3","0","0","5","34","9","26","52","30","0","0","-"
"637","Ryan Lomberg","FLA","L","34","310.6","2","2","2","0","4","36.36","44","4.55","4.25","64","59","41","16","4","9","65","17","10","5","2","13","2","7","89","27","8","0","1","0.00"
"651","Libor Hajek","NYR","D","44","631.61666666667","2","2","1","1","4","17.39","32","6.25","1.39","55","45","11","2","1","1","10","5","5","0","0","5","17","5","24","75","42","0","0","-"
"674","Josh Mahura","ANA","D","13","195.66666666667","1","3","2","1","4","44.44","14","7.14","0.42","34","21","9","1","2","0","4","2","2","0","0","1","8","1","10","29","8","0","0","-"
"676","Logan Stanley","WPG","D","37","472.35","1","3","0","3","4","14.81","63","1.59","1.75","130","95","23","1","2","5","26","10","8","2","0","6","20","7","48","46","29","0","0","-"
"677","Givani Smith","DET","R","16","155.2","1","3","2","1","4","80.00","19","5.26","1.13","26","21","14","7","2","2","21","6","3","3","0","5","5","1","28","23","4","0","0","-"
"716","Dylan Coghlan","VGK","D","29","368.81666666667","1","3","1","2","4","40.00","29","3.45","1.48","71","42","27","3","2","6","2","1","1","0","0","1","4","5","29","35","15","0","1","0.00"
"719","Mathieu Olivier","NSH","R","30","303.78333333333","2","2","1","1","4","57.14","24","8.33","2.15","36","32","22","11","1","1","66","19","13","4","2","7","2","0","61","30","17","3","3","50.00"
"740","Cody Glass","VGK","C","27","326.76666666667","0","4","4","0","4","33.33","19","0.00","2.19","45","26","27","11","1","7","8","4","4","0","0","6","5","11","10","26","9","93","134","40.97"
"768","Pierre-Olivier Joseph","PIT","D","16","246.5","1","3","3","0","4","44.44","25","4.00","1.03","45","36","9","1","0","2","6","3","3","0","0","4","7","4","22","11","7","0","0","-"
"789","Emil Bemstrom","CBJ","C","20","234.71666666667","2","2","1","1","4","57.14","24","8.33","2.35","45","34","25","10","0","4","0","0","0","0","0","1","5","2","15","24","8","0","0","-"
"796","Wyatt Kalynuk","CHI","D","20","287.95","3","1","1","0","4","33.33","18","16.67","0.86","34","26","8","2","1","2","4","2","2","0","0","0","15","2","23","49","19","0","0","-"
"815","Evan Bouchard","EDM","D","14","189.4","1","3","1","2","4","80.00","36","2.78","1.28","64","45","9","1","0","2","2","1","1","0","0","1","9","4","11","8","10","0","0","-"
"826","Vitali Kravtsov","NYR","R","20","239.03333333333","2","2","0","2","4","66.67","22","9.09","1.54","40","29","22","6","2","1","4","2","2","0","0","0","13","7","7","17","6","0","2","0.00"
"828","Grigori Denisenko","FLA","L","7","81.216666666667","0","4","1","3","4","66.67","6","0.00","0.33","11","8","5","1","0","0","2","1","1","0","0","0","0","3","15","10","2","1","1","50.00"
"832","Liam Foudy","CBJ","C","24","280.76666666667","0","4","3","1","4","40.00","37","0.00","3.23","60","48","36","19","3","3","6","3","3","0","0","5","5","6","13","22","5","2","7","22.22"
"21","David Backes","ANA","R","15","162.8","2","1","0","1","3","75.00","28","7.14","2.21","44","36","23","11","2","3","4","2","2","0","0","0","3","4","28","16","14","68","53","56.20"
"22","Brad Richardson","NSH","R","17","161.06666666667","1","2","2","0","3","75.00","18","5.56","1.31","26","22","17","6","1","0","2","1","1","0","0","1","0","4","13","7","7","58","50","53.70"
"57","Alex Biega","DET","D","13","124.15","0","3","2","1","3","60.00","4","0.00","0.15","17","8","4","0","0","1","4","2","2","0","0","2","3","0","19","9","7","0","0","-"
"117","Luke Schenn","T.B","D","38","392.06666666667","2","1","1","0","3","20.00","42","4.76","1.55","89","64","26","5","4","5","49","13","7","5","1","6","9","6","95","62","13","0","0","-"
"130","Zac Dalpe","CBJ","C","12","113.4","2","1","0","1","3","100.00","20","10.00","1.61","29","23","16","7","1","4","0","0","0","0","0","1","2","4","11","8","8","17","19","47.22"
"139","Greg Pateryn","COL, MIN, S.J","D","13","150.26666666667","0","3","1","2","3","60.00","13","0.00","0.71","29","21","10","2","0","2","4","2","2","0","0","0","4","2","13","11","9","0","0","-"
"147","Antoine Roussel","VAN","L","35","328.81666666667","1","2","2","0","3","33.33","22","4.55","2.45","40","33","22","13","1","1","37","13","11","1","1","4","14","7","62","43","11","2","2","50.00"
"195","Justin Dowling","DAL","C","27","259.46666666667","0","3","2","1","3","42.86","23","0.00","1.49","48","34","17","6","5","2","6","3","3","0","0","3","5","5","16","22","3","43","38","53.09"
"225","Chris Wagner","BOS","R","41","409.11666666667","1","2","0","2","3","42.86","55","1.82","3.55","81","68","40","17","5","0","24","9","7","2","0","6","5","12","70","66","17","37","34","52.11"
"241","Jani Hakanpaa","ANA, CAR","D","57","895.58333333333","2","1","1","0","3","8.82","52","3.85","2.81","118","78","28","6","5","7","35","16","15","1","0","5","31","3","195","119","62","0","0","-"
"247","Anthony Bitetto","NYR","D","14","186.73333333333","1","2","1","1","3","50.00","11","9.09","0.54","22","16","9","3","0","1","20","7","5","2","0","5","3","2","19","25","7","0","0","-"
"260","Max McCormick","CAR","L","12","92.65","2","1","0","1","3","100.00","5","40.00","0.41","7","5","5","2","1","0","9","3","2","1","0","1","0","1","16","11","2","1","0","100.00"
"264","Tyler Graovac","VAN","C","14","128.75","2","1","1","0","3","75.00","16","12.50","1.66","22","19","17","9","1","1","6","3","3","0","0","4","3","5","13","8","5","41","50","45.05"
"274","Steven Fogarty","BUF","C","9","102.81666666667","1","2","2","0","3","100.00","5","20.00","0.67","8","8","5","3","1","1","8","4","4","0","0","3","0","5","4","3","9","6","5","54.55"
"319","Matt Tennyson","N.J","D","21","276.46666666667","1","2","2","0","3","20.00","13","7.69","0.48","28","21","4","0","2","1","2","1","1","0","0","1","5","0","30","26","20","0","0","-"
"361","Jake McCabe","BUF","D","13","213.53333333333","1","2","0","2","3","30.00","15","6.67","0.67","28","20","8","3","0","1","9","3","2","1","0","4","3","5","18","18","9","0","0","-"
"367","Gemel Smith","T.B","C","5","46.65","0","3","2","1","3","75.00","0","-","0.03","1","1","1","0","0","1","11","4","3","1","0","2","1","1","6","5","1","17","20","45.95"
"372","Matthew Benning","NSH","D","52","724.1","1","2","0","2","3","13.04","41","2.44","1.23","94","61","12","1","1","6","18","9","9","0","0","9","24","1","44","73","37","0","0","-"
"380","Liam O'Brien","COL","C","12","77.883333333333","0","3","2","1","3","100.00","6","0.00","0.41","11","8","4","3","1","1","28","7","4","2","1","9","1","0","28","6","2","0","0","-"
"466","Ryan Carpenter","CHI","C","39","361.16666666667","2","1","0","1","3","60.00","42","4.76","3.97","60","53","39","19","1","4","17","7","6","1","0","4","5","3","72","41","12","43","40","51.81"
"524","Clark Bishop","OTT","C","13","118.18333333333","0","3","3","0","3","42.86","16","0.00","1.52","25","20","19","11","3","1","4","2","2","0","0","3","6","3","23","21","7","36","33","52.17"
"528","Anthony Angello","PIT","C","19","135.4","1","2","2","0","3","60.00","15","6.67","0.74","22","18","11","2","0","2","6","3","3","0","0","1","1","1","50","22","2","0","0","-"
"599","Gabriel Carlsson","CBJ","D","14","195.11666666667","1","2","0","2","3","50.00","14","7.14","0.4","28","19","6","1","1","0","4","2","2","0","0","1","2","4","11","20","12","0","0","-"
"613","Christian Wolanin","L.A, OTT","D","18","209.5","0","3","2","1","3","30.00","14","0.00","0.64","28","19","7","3","1","2","8","4","4","0","0","1","12","1","3","12","7","0","0","-"
"617","Niko Mikkola","STL","D","30","370.63333333333","1","2","1","1","3","30.00","20","5.00","0.83","44","31","8","3","1","3","9","3","2","1","0","6","17","2","47","65","29","0","0","-"
"635","Adam Brooks","TOR","C","11","108.9","2","1","0","1","3","60.00","8","25.00","0.73","12","8","9","4","0","2","0","0","0","0","0","1","3","4","14","20","2","6","8","42.86"
"638","Dan Renouf","COL","D","18","174.63333333333","0","3","1","2","3","42.86","12","0.00","0.24","18","14","4","0","2","3","16","5","3","2","0","3","3","1","20","14","3","0","0","-"
"663","Olli Juolevi","VAN","D","23","281.3","2","1","1","0","3","27.27","24","8.33","1.23","57","35","12","2","0","1","0","0","0","0","0","1","8","2","22","50","27","0","0","-"
"664","Kieffer Bellows","NYI","L","14","141.95","3","0","0","0","3","60.00","19","15.79","1.47","36","25","21","10","0","2","4","2","2","0","0","4","2","2","36","11","5","2","2","50.00"
"684","Dennis Cholowski","DET","D","16","215.38333333333","1","2","2","0","3","50.00","9","11.11","0.44","21","14","7","0","0","1","4","2","2","0","0","0","5","1","5","9","17","0","0","-"
"735","Cal Foote","T.B","D","35","421.86666666667","1","2","1","1","3","13.64","39","2.56","1.55","77","60","22","3","2","5","29","9","7","1","1","5","5","1","37","54","28","0","0","-"
"754","Jack Studnicka","BOS","C","20","220.33333333333","1","2","1","1","3","75.00","25","4.00","2.38","43","35","27","11","1","3","0","0","0","0","0","3","2","6","7","23","9","38","51","42.70"
"819","Nicolas Beaudin","CHI","D","19","226.91666666667","2","1","0","1","3","30.00","7","28.57","0.35","17","9","7","3","0","1","2","1","1","0","0","0","18","4","14","25","20","0","0","-"
"831","Barrett Hayton","ARI","C","14","126.08333333333","2","1","0","1","3","75.00","8","25.00","0.73","14","13","8","4","0","0","0","0","0","0","0","3","4","2","13","11","3","30","28","51.72"
"836","Rasmus Sandin","TOR","D","9","110.95","0","3","1","2","3","37.50","7","0.00","0.2","10","7","3","0","0","1","0","0","0","0","0","1","2","2","11","18","7","0","0","-"
"842","Jordan Gross","ARI","D","7","89.45","0","3","1","2","3","75.00","10","0.00","0.24","23","15","2","0","0","2","2","1","1","0","0","0","4","0","6","7","8","0","0","-"
"871","Cole Caufield","MTL","R","10","117.08333333333","2","1","1","0","3","50.00","24","8.33","2.48","44","38","19","7","2","3","2","1","1","0","0","1","3","3","3","2","0","0","0","-"
"882","Alex Newhook","COL","C","6","74.7","0","3","1","2","3","50.00","6","0.00","0.81","16","13","8","5","1","0","2","1","1","0","0","1","0","2","3","7","1","16","20","44.44"
"889","Zac Jones","NYR","D","10","137.8","0","3","1","2","3","60.00","9","0.00","0.28","19","11","6","0","1","0","2","1","1","0","0","0","9","1","8","11","8","0","0","-"
"892","Gaetan Haas","EDM","C","34","308.68333333333","2","1","1","0","3","60.00","22","9.09","2.16","45","30","21","10","1","1","10","5","5","0","0","4","4","6","26","43","20","104","127","45.02"
"896","Connor Mackey","CGY","D","6","72.216666666667","1","2","1","1","3","60.00","4","25.00","0.36","10","8","2","1","0","0","18","6","4","2","0","4","4","0","7","9","0","0","0","-"
"905","Radim Zohorna","PIT","L","8","64.316666666667","2","1","1","0","3","42.86","7","28.57","0.68","10","9","7","4","0","0","4","2","2","0","0","1","0","3","7","3","0","2","2","50.00"
"911","Mike Hardman","CHI","L","8","86.35","1","2","1","1","3","75.00","5","20.00","1.01","10","8","5","5","0","0","0","0","0","0","0","1","1","2","38","15","6","1","1","50.00"
"5","Mikko Koivu","CBJ","C","7","77.15","1","1","1","0","2","50.00","3","33.33","0.14","7","4","5","0","0","0","2","1","1","0","0","0","2","2","10","2","1","29","33","46.77"
"52","Nathan Gerbe","CBJ","C","9","85.966666666667","1","1","0","1","2","100.00","8","12.50","0.47","12","11","6","3","0","0","2","1","1","0","0","1","1","2","8","2","2","0","1","0.00"
"89","Thomas Hickey","NYI","D","5","78.483333333333","0","2","1","1","2","33.33","2","0.00","0.11","5","4","1","1","0","1","0","0","0","0","0","0","1","0","10","11","3","0","0","-"
"95","Carl Gunnarsson","STL","D","12","140.25","0","2","0","2","2","40.00","6","0.00","0.3","17","10","5","1","1","0","6","3","3","0","0","1","2","1","8","20","11","0","0","-"
"109","Nick Holden","VGK","D","17","255.01666666667","0","2","2","0","2","18.18","23","0.00","1.35","46","32","12","3","0","1","2","1","1","0","0","1","0","3","28","27","19","0","0","-"
"138","Matt Calvert","COL","L","18","201.25","0","2","2","0","2","66.67","23","0.00","2.45","41","28","29","13","1","3","6","3","3","0","0","5","0","1","7","26","7","0","1","0.00"
"199","Nate Prosser","PHI","D","6","71.4","1","1","1","0","2","100.00","5","20.00","0.35","9","6","2","1","0","1","0","0","0","0","0","1","3","0","3","12","9","0","0","-"
"200","Matt Irwin","BUF","D","24","337.81666666667","0","2","2","0","2","20.00","27","0.00","0.97","45","36","11","3","2","3","19","8","7","1","0","3","6","3","54","30","35","0","0","-"
"232","Tyler Seguin","DAL","C","3","42.533333333333","2","0","0","0","2","100.00","6","33.33","0.58","9","6","6","3","0","0","0","0","0","0","0","0","0","1","8","1","1","18","11","62.07"
"251","Michael Sgarbossa","WSH","C","5","41.55","0","2","0","2","2","50.00","4","0.00","0.23","5","4","4","1","0","1","0","0","0","0","0","0","0","4","1","3","2","8","16","33.33"
"279","Kyle Rau","MIN","C","14","120.55","0","2","1","1","2","50.00","13","0.00","1.17","23","17","12","4","1","3","9","3","2","1","0","3","1","4","23","13","14","0","0","-"
"293","Scott Harrington","CBJ","D","12","176.46666666667","1","1","1","0","2","25.00","8","12.50","0.2","16","11","3","0","0","0","6","3","3","0","0","0","1","0","9","13","17","0","0","-"
"382","Jayson Megna","COL","C","7","67.683333333333","0","2","2","0","2","66.67","11","0.00","1.03","14","12","10","7","0","2","0","0","0","0","0","3","0","1","14","5","3","10","10","50.00"
"388","Chad Ruhwedel","PIT","D","17","217.51666666667","0","2","1","1","2","25.00","14","0.00","0.41","41","23","5","0","1","2","10","5","5","0","0","0","2","1","27","23","12","0","0","-"
"434","Tyler Bertuzzi","DET","L","9","120.88333333333","1","1","0","1","2","100.00","13","7.69","1.19","24","18","17","5","0","1","4","2","2","0","0","1","6","3","10","9","1","1","1","50.00"
"465","Trevor van Riemsdyk","WSH","D","20","299.96666666667","1","1","0","1","2","22.22","19","5.26","0.54","44","32","10","1","1","5","2","1","1","0","0","1","7","1","12","17","20","0","0","-"
"510","Jake Walman","STL","D","24","313.53333333333","1","1","1","0","2","28.57","45","2.22","1.92","81","58","24","2","0","2","8","4","4","0","0","5","16","5","26","19","17","0","0","-"
"511","Mark Friedman","PHI, PIT","D","9","97.45","1","1","0","1","2","33.33","8","12.50","0.51","11","10","3","2","0","0","9","3","2","1","0","5","2","0","13","25","7","0","1","0.00"
"512","Michael Amadio","L.A, OTT","C","25","271.03333333333","0","2","2","0","2","25.00","20","0.00","2.01","35","28","23","8","1","3","4","2","2","0","0","2","7","3","8","28","16","91","88","50.84"
"513","William Lagesson","EDM","D","19","241.33333333333","0","2","2","0","2","22.22","9","0.00","0.44","26","17","6","2","1","0","9","3","2","1","0","4","7","1","12","58","10","0","0","-"
"532","Dylan Sikura","VGK","C","6","61.466666666667","2","0","0","0","2","100.00","8","25.00","0.41","11","8","9","0","0","0","0","0","0","0","0","2","0","5","3","5","1","0","0","-"
"614","Alexandre Carrier","NSH","D","19","325.03333333333","1","1","1","0","2","20.00","28","3.57","1.99","64","45","18","5","1","5","6","3","3","0","0","5","9","10","22","32","21","0","0","-"
"632","Lane Pederson","ARI","C","15","147.86666666667","1","1","0","1","2","28.57","13","7.69","1.81","24","22","14","8","1","1","2","1","1","0","0","1","2","3","39","11","2","36","34","51.43"
"671","Andrew Peeke","CBJ","D","11","183.23333333333","0","2","0","2","2","40.00","5","0.00","0.24","13","9","3","1","0","0","4","2","2","0","0","1","6","5","35","16","14","0","0","-"
"701","Patrick Russell","EDM","R","8","84.816666666667","0","2","2","0","2","66.67","12","0.00","0.46","16","14","5","0","0","0","0","0","0","0","0","3","3","2","13","17","0","1","3","25.00"
"703","Rem Pitlick","NSH","C","10","102.61666666667","0","2","2","0","2","50.00","10","0.00","0.79","12","10","11","6","0","0","4","2","2","0","0","1","3","0","8","3","1","15","20","42.86"
"714","Rhett Gardner","DAL","C","28","266.3","1","1","0","1","2","33.33","22","4.55","2.35","51","38","25","11","2","6","8","4","4","0","0","7","4","5","52","27","10","42","57","42.42"
"723","Zack MacEwen","VAN","C","34","288.6","1","1","0","1","2","20.00","30","3.33","2.47","55","44","24","11","4","2","44","12","6","6","0","10","6","6","64","25","9","3","4","42.86"
"743","Urho Vaakanainen","BOS","D","9","149.41666666667","0","2","0","2","2","66.67","13","0.00","0.46","24","17","8","0","0","1","2","1","1","0","0","0","4","1","3","16","13","0","0","-"
"756","MacKenzie Entwistle","CHI","R","5","48.683333333333","1","1","1","0","2","100.00","6","16.67","0.49","8","7","5","2","1","1","2","1","1","0","0","0","0","1","10","7","2","6","21","22.22"
"766","Alexander Chmelevski","S.J","C","5","48.75","0","2","1","1","2","66.67","8","0.00","0.69","10","9","7","4","0","0","2","1","1","0","0","1","0","2","7","2","1","4","8","33.33"
"767","Jack Rathbone","VAN","D","8","111.68333333333","1","1","0","1","2","33.33","13","7.69","0.6","24","17","8","0","0","1","0","0","0","0","0","1","5","1","9","19","7","0","0","-"
"781","Andreas Borgman","T.B","D","7","80.2","0","2","0","2","2","50.00","7","0.00","0.42","23","12","11","1","2","1","4","2","2","0","0","2","3","2","10","16","3","0","0","-"
"784","Gustav Lindstrom","DET","D","13","180.93333333333","0","2","1","1","2","33.33","8","0.00","0.33","19","14","2","1","0","1","0","0","0","0","0","1","8","0","14","14","15","0","0","-"
"792","Sebastian Aho","NYI","D","3","38.833333333333","1","1","1","0","2","100.00","4","25.00","0.23","8","6","2","1","0","0","2","1","1","0","0","2","3","0","1","2","2","0","0","-"
"793","Marian Studenic","N.J","R","8","81.366666666667","1","1","0","1","2","100.00","7","14.29","0.47","9","8","6","3","0","1","4","2","2","0","0","0","1","0","13","11","4","0","0","-"
"805","Kiefer Sherwood","COL","L","16","136.98333333333","0","2","1","1","2","40.00","17","0.00","2.22","39","23","16","10","2","3","0","0","0","0","0","1","2","3","40","13","6","1","1","50.00"
"807","Joel L'Esperance","DAL","C","12","99.883333333333","2","0","0","0","2","66.67","8","25.00","0.86","19","18","9","3","0","0","2","1","1","0","0","1","3","1","16","5","0","7","10","41.18"
"817","Mattias Samuelsson","BUF","D","12","189.55","0","2","0","2","2","66.67","10","0.00","0.19","20","12","4","0","0","2","2","1","1","0","0","3","3","2","19","25","9","0","0","-"
"830","Ty Dellandrea","DAL","C","26","270.91666666667","1","1","1","0","2","25.00","23","4.35","2","43","30","22","10","0","2","19","8","7","1","0","6","3","2","45","35","10","33","41","44.59"
