"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"31","Blake Comeau","DAL","L","51","697.56666666667","3","8","4","4","11","64.71","70","4.29","5.97","125","91","72","30","7","13","35","12","10","1","1","9","17","16","103","43","17","46","38","54.76"
"59","Nick Foligno","CBJ, TOR","L","49","649.25","5","6","4","2","11","55.00","68","7.35","6.05","101","89","61","34","3","5","28","11","9","2","0","13","12","11","129","39","29","65","81","44.52"
"120","Erik Karlsson","S.J","D","52","942.33333333333","4","7","4","3","11","28.95","79","5.06","4.2","174","115","54","7","4","15","14","7","7","0","0","10","36","31","18","54","60","0","0","-"
"136","TJ Brodie","TOR","D","56","1031.2833333333","1","10","3","7","11","20.00","40","2.50","1.7","94","61","20","4","0","2","12","5","5","0","0","7","42","18","29","99","75","0","0","-"
"137","Derek Grant","ANA","C","46","522.93333333333","4","7","4","3","11","55.00","54","7.41","4.68","106","82","48","26","3","3","23","10","9","1","0","5","10","6","65","31","25","223","185","54.66"
"143","Jared Spurgeon","MIN","D","54","872.71666666667","4","7","3","4","11","28.95","63","6.35","3.82","132","96","49","10","2","9","6","3","3","0","0","2","7","14","47","63","68","0","0","-"
"149","Mike Hoffman","STL","C","52","627.33333333333","5","6","3","3","11","50.00","61","8.20","3.94","93","71","50","13","2","1","10","5","5","0","0","5","17","19","27","19","10","5","3","62.50"
"156","Jakob Silfverberg","ANA","R","47","580.15","5","6","2","4","11","78.57","63","7.94","5.28","130","99","68","21","9","7","12","6","6","0","0","2","12","17","18","56","21","4","6","40.00"
"201","Christopher Tanev","CGY","D","56","987.2","2","9","1","8","11","28.95","60","3.33","1.88","115","81","17","3","1","3","6","3","3","0","0","6","44","18","29","106","75","0","0","-"
"211","Charlie Coyle","BOS","C","51","630.61666666667","4","7","3","4","11","57.89","68","5.88","5.12","107","91","57","23","2","6","20","10","10","0","0","11","14","19","54","28","18","184","194","48.68"
"224","Riley Sheahan","BUF","C","53","563.21666666667","3","8","7","1","11","73.33","39","7.69","3.16","62","49","31","16","0","2","8","4","4","0","0","7","9","11","15","26","9","196","176","52.69"
"282","Rocco Grimaldi","NSH","R","40","460.83333333333","9","2","2","0","11","68.75","55","16.36","5.13","103","85","60","20","1","3","4","2","2","0","0","6","11","17","19","25","9","0","1","0.00"
"306","Joel Armia","MTL","R","41","493.45","5","6","4","2","11","44.00","60","8.33","4.63","102","78","59","21","2","4","8","3","3","0","0","9","17","13","80","31","11","6","14","30.00"
