,player1Id,player2Id,count
131,8474053,8470613,6
132,8474564,8473986,6
133,8479343,8473548,6
134,8474157,8477447,6
135,8475167,8474564,6
136,8475784,8477949,6
137,8478483,8478047,6
138,8477942,8477919,6
139,8478864,8477942,6
140,8476459,8479323,6
141,8475810,8471724,6
142,8474564,8476292,6
143,8482116,8480801,6
144,8477935,8476456,6
145,8478493,8475692,6
146,8479977,8477934,6
147,8475786,8477934,6
148,8478498,8473419,6
149,8477934,8475786,6
150,8475794,8473994,6
151,8478493,8478864,6
152,8477429,8478550,6
153,8476460,8471218,6
154,8477956,8470638,6
155,8475314,8478445,6
156,8475314,8480865,6
157,8480830,8476882,6
158,8476539,8476448,6
159,8478402,8479344,6
160,8481557,8477942,6
161,8479661,8476925,6
162,8479339,8476432,6
163,8477955,8474586,6
164,8478414,8474053,6
165,8473419,8470638,6
166,8475220,8476856,6
167,8477940,8479400,5
168,8481624,8478115,5
169,8481559,8479407,5
170,8479400,8471218,5
171,8479339,8474161,5
172,8477932,8476456,5
173,8476539,8478462,5
174,8479339,8478460,5
175,8476459,8475184,5
176,8476880,8475744,5
177,8479339,8474679,5
178,8473533,8475799,5
179,8478420,8480069,5
180,8476455,8477492,5
181,8477930,8470621,5
182,8477933,8478975,5
183,8480803,8478402,5
184,8476456,8477493,5
185,8476468,8478444,5
186,8478420,8477444,5
187,8478402,8475197,5
188,8477939,8479318,5
189,8481618,8479398,5
190,8479525,8474564,5
191,8476453,8474564,5
192,8477956,8473419,5
193,8477426,8477015,5
194,8474102,8475158,5
195,8475765,8477964,5
196,8478550,8479323,5
197,8474586,8477505,5
198,8479661,8474600,5
199,8478067,8478439,5
200,8477955,8470966,5
201,8480830,8476958,5
202,8477409,8477346,5
203,8477409,8477493,5
204,8482078,8477479,5
205,8474102,8476792,5
206,8477956,8475287,5
207,8477956,8479325,5
208,8477416,8474161,5
209,8477416,8478458,5
210,8478975,8482113,5
211,8478975,8477933,5
212,8475799,8475855,5
213,8475794,8478495,5
214,8480064,8482116,5
215,8475793,8475168,5
216,8478873,8475764,5
217,8477479,8477946,5
218,8475191,8476539,5
219,8480023,8475765,5
220,8477947,8481533,5
221,8476438,8480023,5
222,8479420,8480839,5
223,8478508,8479661,5
224,8478462,8477447,5
225,8476438,8474102,5
226,8482705,8477416,5
227,8477946,8481542,5
228,8475754,8474573,5
229,8474141,8479337,5
230,8474141,8478440,5
231,8474600,8481577,5
232,8478042,8471685,5
233,8471218,8471669,5
234,8477492,8476455,5
235,8475184,8476885,5
236,8471669,8477940,5
237,8480023,8479385,5
238,8475151,8474573,4
239,8477402,8475765,4
240,8480865,8478445,4
241,8479385,8475170,4
242,8478519,8473986,4
243,8479373,8478414,4
244,8476539,8474565,4
245,8474157,8475913,4
246,8476483,8482142,4
247,8477504,8476460,4
248,8474157,8476905,4
249,8481557,8477919,4
250,8477341,8479407,4
251,8480797,8474715,4
252,8477407,8477493,4
253,8477407,8477409,4
254,8474149,8478462,4
255,8481068,8480002,4
256,8478550,8476885,4
257,8477501,8478420,4
258,8480801,8478469,4
259,8479343,8476906,4
260,8473986,8478519,4
261,8476885,8478550,4
262,8473544,8474715,4
263,8481540,8475227,4
264,8479337,8477495,4
265,8476881,8478870,4
266,8478460,8474161,4
267,8481535,8477500,4
268,8474641,8470612,4
269,8481540,8480018,4
270,8476880,8471214,4
271,8478458,8477503,4
272,8477493,8477407,4
273,8477493,8477409,4
274,8473986,8475167,4
275,8478458,8479339,4
276,8481533,8477947,4
277,8474600,8475793,4
278,8477479,8481542,4
279,8477500,8480800,4
280,8473512,8478439,4
281,8476934,8476875,4
282,8473512,8474715,4
283,8480839,8478109,4
284,8476906,8479343,4
285,8478483,8475166,4
286,8476905,8475913,4
287,8476905,8474149,4
288,8474586,8475149,4
289,8477476,8478133,4
290,8478474,8473548,4
291,8480830,8476389,4
292,8479318,8475166,4
293,8474034,8470621,4
294,8473533,8476869,4
295,8480801,8480208,4
296,8478449,8475906,4
297,8478864,8474716,4
298,8477933,8477493,4
299,8482222,8476881,4
300,8478109,8481528,4
301,8476448,8475191,4
302,8476453,8478010,4
303,8475170,8479385,4
304,8475287,8475791,4
305,8477942,8475692,4
306,8479992,8477454,4
307,8475287,8477956,4
308,8475170,8475158,4
309,8476455,8477501,4
310,8470613,8476881,4
311,8475169,8479977,4
312,8475172,8477456,4
313,8477940,8478398,4
314,8475784,8480839,4
315,8471685,8480113,4
316,8477940,8477429,4
317,8476455,8480069,4
318,8478109,8479335,4
319,8476456,8477407,4
320,8470610,8478445,4
321,8476456,8477933,4
322,8476456,8477935,4
323,8477964,8480023,4
324,8477964,8479385,4
325,8477939,8476853,4
326,8480074,8480762,4
327,8476292,8475167,4
328,8476329,8477951,4
329,8475913,8474157,4
330,8471214,8475200,4
331,8471214,8476880,4
332,8470794,8475794,4
333,8477951,8476906,4
334,8475225,8475745,4
335,8482110,8477341,4
336,8475191,8476448,4
337,8479385,8477402,4
338,8480216,8471228,4
339,8478233,8479346,4
340,8478366,8476459,4
341,8476399,8474150,4
342,8477960,8470606,4
343,8478133,8477476,4
344,8476419,8480865,4
345,8479977,8478402,4
346,8482093,8478427,4
347,8477946,8477952,4
348,8470621,8474564,4
349,8477939,8477021,4
350,8479675,8476479,4
351,8481624,8477021,4
352,8479407,8477341,4
353,8478010,8473986,4
354,8478420,8475172,4
355,8475158,8476438,4
356,8475158,8475170,4
357,8476460,8478398,4
358,8476468,8478856,4
359,8475754,8480865,4
360,8476460,8480145,4
361,8476460,8477940,4
362,8480018,8481540,4
363,8479400,8476460,4
364,8480023,8476438,4
365,8478414,8482222,4
366,8479407,8480002,4
367,8475754,8475314,4
368,8478402,8480803,4
369,8480002,8479407,4
370,8479407,8481559,4
371,8475163,8476468,4
372,8478403,8476905,4
373,8478427,8477950,4
374,8478414,8470613,4
375,8478046,8478507,4
376,8475855,8473533,3
377,8480012,8481617,3
378,8475225,8479365,3
379,8474565,8476539,3
380,8478519,8476292,3
381,8474564,8478010,3
382,8475753,8479385,3
383,8476923,8479407,3
384,8479066,8480185,3
385,8480018,8475227,3
386,8476918,8478399,3
387,8480018,8474884,3
388,8480069,8478038,3
389,8475855,8475799,3
390,8474573,8476419,3
391,8476905,8478403,3
392,8475855,8476958,3
393,8475906,8473994,3
394,8480830,8478427,3
395,8476905,8474157,3
396,8475220,8478413,3
397,8475744,8474590,3
398,8479316,8476393,3
399,8479675,8478042,3
400,8480023,8477402,3
401,8475810,8477404,3
402,8480064,8480073,3
403,8474149,8477447,3
404,8479977,8475169,3
405,8476981,8477989,3
406,8480865,8475754,3
407,8475692,8474716,3
408,8475690,8476346,3
